iteration,dataset,algorithm,support,time,memory
2,Kosarak,My Adv. Eclat,0.4,5.543619394302368,4872.16796875
2,Kosarak,My Adv. Eclat,0.5,5.608503580093384,4871.41796875
2,Kosarak,My Adv. Eclat,0.6,5.530744314193726,4872.08984375
2,Kosarak,My Adv. Eclat,0.7,5.578606367111206,4871.96875
2,Kosarak,My Adv. Eclat,0.8,5.531981945037842,4871.9765625
2,Kosarak,My Adv. Eclat,0.9,5.560147523880005,4871.30859375
2,Kosarak,FIM Apriori,0.1,0.9202544689178467,60.26171875
2,Kosarak,FIM Apriori,0.2,0.8954052925109863,1.578125
2,Kosarak,FIM Apriori,0.3,0.9006054401397705,0.4609375
2,Kosarak,FIM Apriori,0.4,0.8354613780975342,0.35546875
2,Kosarak,FIM Apriori,0.5,0.7560436725616455,0.0234375
2,Kosarak,FIM Apriori,0.6,0.8091745376586914,0.078125
2,Kosarak,FIM Apriori,0.7,0.6675732135772705,0.0234375
2,Kosarak,FIM Apriori,0.8,0.660076379776001,0.51953125
2,Kosarak,FIM Apriori,0.9,0.6870484352111816,0.4453125
2,Kosarak,FIM Eclat,0.1,0.9180545806884766,0.2109375
2,Kosarak,FIM Eclat,0.2,0.893913745880127,0.07421875
2,Kosarak,FIM Eclat,0.3,0.8890092372894287,0.09375
2,Kosarak,FIM Eclat,0.4,0.8037633895874023,0.02734375
2,Kosarak,FIM Eclat,0.5,0.7700073719024658,58.68359375
2,Kosarak,FIM Eclat,0.6,0.7711899280548096,0.7265625
2,Kosarak,FIM Eclat,0.7,0.6594386100769043,0.30859375
2,Kosarak,FIM Eclat,0.8,0.6621298789978027,0.6015625
2,Kosarak,FIM Eclat,0.9,0.6638634204864502,0.59375
2,Chess,My Eclat,0.7,3.405888319015503,46.890625
2,Chess,My Eclat,0.8,0.6077394485473633,12.51953125
2,Chess,My Eclat,0.9,0.06818222999572754,10.23828125
2,Chess,My Postdiffset,0.7,0.8371939659118652,313.0625
2,Chess,My Postdiffset,0.8,0.08338284492492676,7.390625
2,Chess,My Postdiffset,0.9,0.028901100158691406,0.0234375
2,Chess,My Adv. Eclat,0.7,0.10065126419067383,30.0859375
2,Chess,My Adv. Eclat,0.8,0.03347277641296387,0.03125
2,Chess,My Adv. Eclat,0.9,0.011235237121582031,0.0234375
2,Chess,FIM Apriori,0.7,0.07699441909790039,6.41796875
2,Chess,FIM Apriori,0.8,0.023546934127807617,0.04296875
2,Chess,FIM Apriori,0.9,0.0044078826904296875,0.0234375
2,Chess,FIM Eclat,0.7,0.029326677322387695,4.9921875
2,Chess,FIM Eclat,0.8,0.01725172996520996,0.0234375
2,Chess,FIM Eclat,0.9,0.003921031951904297,0.0234375
2,Mushrooms,My Eclat,0.7,0.03553199768066406,2.9921875
2,Mushrooms,My Eclat,0.8,0.03255295753479004,0.0234375
2,Mushrooms,My Eclat,0.9,0.032567739486694336,0.0234375
2,Mushrooms,My Postdiffset,0.7,0.03300929069519043,0.0234375
2,Mushrooms,My Postdiffset,0.8,0.03212094306945801,0.0234375
2,Mushrooms,My Postdiffset,0.9,0.03162121772766113,0.0234375
2,Mushrooms,My Adv. Eclat,0.7,0.01829695701599121,0.0234375
2,Mushrooms,My Adv. Eclat,0.8,0.018538475036621094,0.0234375
2,Mushrooms,My Adv. Eclat,0.9,0.01961517333984375,0.0234375
2,Mushrooms,FIM Apriori,0.7,0.006777763366699219,0.0234375
2,Mushrooms,FIM Apriori,0.8,0.0067596435546875,0.0234375
2,Mushrooms,FIM Apriori,0.9,0.006943464279174805,0.0234375
2,Mushrooms,FIM Eclat,0.7,0.00692296028137207,0.0234375
2,Mushrooms,FIM Eclat,0.8,0.00696253776550293,0.0234375
2,Mushrooms,FIM Eclat,0.9,0.0068738460540771484,0.0234375
3,Retail,My Eclat,0.1,0.294558048248291,24.2265625
3,Retail,My Eclat,0.2,0.2899143695831299,8.859375
3,Retail,My Eclat,0.3,0.2911193370819092,11.03515625
3,Retail,My Eclat,0.4,0.28505539894104004,8.84765625
3,Retail,My Eclat,0.5,0.28496408462524414,7.9453125
